Total Pembeli (Pesanan Dibuat),Produk (Pesanan Dibuat),Total Penjualan (Pesanan Dibuat) (IDR),Tingkat Konversi (Pesanan yang Dibuat),Produk (Pesanan Siap Dikirim),Cluster
26,146,201122.0,0.1805999999999999,138,2
41,140,211288.0,0.1639999999999999,129,2
18,123,118412.0,0.1364,123,2
11,120,256389.0,0.0542,110,2
58,97,1315618.0,0.0762999999999999,90,2
30,93,1084195.0,0.0668,80,2
35,87,2529403.0,0.1429,67,2
41,86,1375758.0,0.0599,84,2
31,82,718359.0,0.0670999999999999,81,2
67,73,2119834.0,0.0412999999999999,72,2
9,71,781124.0,0.0242,50,2
26,70,237009.0,0.1898,70,2
60,69,1690003.0,0.0642,68,2
34,63,1683331.0,0.104,61,2
54,61,6321962.0,0.0646,58,1
22,61,430273.0,0.1117,61,2
9,60,156237.0,0.0616,58,2
23,60,50664.0,0.0895,59,2
45,60,1758068.0,0.0823,56,2
46,60,1999391.0,0.0501999999999999,55,2
39,56,2154910.0,0.0494,54,2
21,50,332551.0,0.1313,50,2
12,49,348369.0,0.0538,46,2
27,49,92265.0,0.0746,48,2
40,49,1918644.0,0.0569,47,2
42,48,502655.0,0.1214,45,2
16,46,341466.0,0.1455,46,2
29,46,1108219.0,0.0436,41,2
23,46,290566.0,0.2447,41,2
26,40,158878.0,0.1405,40,2
19,38,515153.0,0.2021,36,2
22,38,1178569.0,0.0742999999999999,37,2
17,36,237336.0,0.1328,33,2
23,35,815466.0,0.0571,28,2
17,34,531119.0,0.0455,34,2
21,32,1124315.0,0.1066,32,2
30,32,206792.0,0.1705,32,2
24,31,416839.0,0.092,31,2
22,31,333033.0,0.1027999999999999,30,2
4,31,36026.0,0.1667,31,0
27,30,3204328.0,0.0960999999999999,29,2
9,30,73725.0,0.0186,30,0
22,28,346995.0,0.037,27,0
5,27,213648.0,0.0265,27,0
15,26,161617.0,0.12,26,0
7,25,332714.0,0.0389,23,0
22,25,1016921.0,0.035,25,2
8,23,195693.0,0.0975999999999999,23,0
16,23,48021.0,0.2254,23,2
17,23,297887.0,0.1417,22,2
18,22,52433.0,0.1192,20,0
12,22,177605.0,0.1188,22,0
9,22,175961.0,0.0352,17,0
12,21,141249.0,0.15,20,0
9,21,361854.0,0.0423,21,0
13,21,381805.0,0.0504,20,0
9,19,59728.0,0.1216,18,0
15,18,94657.0,0.122,17,0
17,18,441905.0,0.1466,18,0
5,18,238684.0,0.061,18,0
7,17,77605.0,0.0921,17,0
14,17,90806.0,0.0986,16,0
17,17,78992.0,0.0776,15,0
12,17,775227.0,0.0542999999999999,14,0
10,17,452728.0,0.0295,16,0
9,17,70997.0,0.1286,15,0
11,17,47419.0,0.0902,15,0
10,17,23691.0,0.1887,15,0
16,17,768245.0,0.1081,17,0
13,15,439317.0,0.0699,13,0
8,15,337878.0,0.0487999999999999,14,0
12,15,813897.0,0.0374,13,0
6,15,37403.0,0.0588,14,0
8,15,104554.0,0.036,14,0
9,14,191577.0,0.12,13,0
8,14,238703.0,0.0237,14,0
5,14,169097.0,0.0294,14,0
6,14,110091.0,0.1033999999999999,14,0
9,13,176507.0,0.0523,13,0
11,13,639674.0,0.0175,12,0
9,12,173546.0,0.0882,12,0
9,12,169425.0,0.0415,12,0
4,12,80931.0,0.0237,11,0
9,11,2382.0,0.1607,11,0
5,11,116054.0,0.016,11,0
4,11,219032.0,0.0237,9,0
10,11,360732.0,0.0461,10,0
7,10,79792.0,0.1,10,0
8,10,227449.0,0.0816,10,0
6,10,49915.0,0.1176,10,0
9,10,809924.0,0.0495,10,0
9,10,86194.0,0.0818,10,0
8,10,83764.0,0.1,10,0
8,10,451952.0,0.02,9,0
8,10,378858.0,0.1481,10,0
6,9,36353.0,0.0844999999999999,9,0
8,9,18668.0,0.25,9,0
8,9,78263.0,0.1176,9,0
4,9,69649.0,0.0615,9,0
5,9,211458.0,0.05,9,0
6,8,11858.0,0.1071,8,0
7,8,219151.0,0.0116999999999999,7,0
8,8,108181.0,0.069,7,0
7,8,184418.0,0.0583,7,0
8,8,232651.0,0.0951999999999999,8,0
4,8,128697.0,0.0283999999999999,8,0
5,8,578321.0,0.061,8,0
8,8,268809.0,0.0615,8,0
7,8,130233.0,0.0909,8,0
3,7,26594.0,0.0576999999999999,7,0
5,7,289243.0,0.0308999999999999,7,0
4,7,79014.0,0.0231,7,0
4,7,329334.0,0.0678,6,0
2,7,94334.0,0.0104,4,0
5,7,240979.0,0.0567999999999999,7,0
5,7,12695.0,0.2,6,0
5,7,558338.0,0.0298,7,0
5,7,58601.0,0.1724,6,0
6,7,74982.0,0.1765,7,0
5,6,219513.0,0.0342,6,0
6,6,103003.0,0.1033999999999999,6,0
4,6,208321.0,0.0506,6,0
6,6,30976.0,0.2857,6,0
5,6,22392.0,0.0794,5,0
4,6,140149.0,0.0851,6,0
4,6,97879.0,0.1538,6,0
5,6,119506.0,0.1163,5,0
6,6,225991.0,0.0487999999999999,6,0
6,6,110834.0,0.0844999999999999,6,0
4,6,68718.0,0.0655999999999999,4,0
5,6,416266.0,0.0299,6,0
4,5,297207.0,0.0713999999999999,5,0
5,5,230866.0,0.0435,5,0
5,5,45662.0,0.1163,5,0
4,5,19213.0,0.0471,5,0
3,5,70249.0,0.0462,4,0
3,5,38696.0,0.0566,5,0
4,5,249458.0,0.0975999999999999,4,0
4,5,28216.0,0.0421,5,0
2,5,12729.0,0.0408,5,0
3,4,275139.0,0.0171,3,0
4,4,39953.0,0.0588,4,0
4,4,136697.0,0.0727,4,0
3,4,2824.0,0.0326,2,0
2,4,80432.0,0.0103,4,0
4,4,31166.0,0.1211999999999999,4,0
2,4,6648.0,0.0571,4,0
2,4,314.0,0.0605999999999999,4,0
3,4,2319.0,0.375,3,0
1,4,28036.0,0.0222,4,0
3,4,141.0,0.25,4,0
3,4,12589.0,0.0882,4,0
3,3,61491.0,0.1429,3,0
3,3,1757.0,0.2307999999999999,3,0
3,3,111351.0,0.0167,3,0
2,3,82863.0,0.0299,3,0
2,3,29484.0,0.0645,2,0
3,3,209932.0,0.0103,3,0
2,3,11637.0,0.0108,3,0
2,3,41733.0,0.087,3,0
1,3,237115.0,0.04,3,0
3,3,57441.0,0.0169,3,0
3,3,155213.0,0.0286,2,0
2,2,56801.0,0.0426,2,0
2,2,55541.0,0.0096,2,0
2,2,74019.0,0.0241,2,0
1,2,6288.0,0.0167,2,0
2,2,10434.0,0.0392,2,0
2,2,15912.0,0.0455,2,0
1,2,86623.0,0.0064,2,0
2,2,11357.0,0.0266999999999999,1,0
2,2,50584.0,0.0556,2,0
2,2,5419.0,0.0645,2,0
2,2,93379.0,0.0217,2,0
2,2,89546.0,0.0667,2,0
2,2,51371.0,0.0364,2,0
1,2,388.0,0.0435,2,0
2,2,163725.0,0.0345,2,0
1,1,114741.0,0.0417,1,0
1,1,7104.0,0.0475999999999999,1,0
1,1,8904.0,0.0526,1,0
1,1,29875.0,0.0213,1,0
1,1,47568.0,0.0769,1,0
1,1,64901.0,0.0109,1,0
1,1,134999.0,0.0141,1,0
1,1,24166.0,1.0,1,2
1,1,16394.0,0.04,1,0
1,1,875.0,0.0159,1,0
1,1,63031.0,0.1,1,0
1,1,18805.0,0.0556,1,0
1,1,22051.0,0.0313,1,0
1,1,2716.0,0.0356999999999999,1,0
1,1,175.0,0.0385,1,0
1,1,70418.0,0.0172,1,0
1,1,9295.0,0.0128,1,0
1,1,70.0,0.0588,1,0
1,1,11419.0,0.0152,1,0
1,1,35594.0,0.0093,1,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
38,114,9048.0,0.0785,112,2
27,99,14633.0,0.1205,87,2
12,98,297152.0,0.0622,83,2
30,90,1068286.0,0.0612,90,2
64,84,2006252.0,0.0913,81,2
37,84,2474586.0,0.0707,80,2
33,76,787389.0,0.0429,75,2
58,70,7204575.0,0.066,67,1
57,70,2213544.0,0.0429,63,2
21,68,1947407.0,0.1167,51,2
28,48,1398464.0,0.1366,45,2
25,47,1277540.0,0.0935999999999999,39,2
15,46,165351.0,0.1485,46,2
14,46,107545.0,0.1273,43,2
21,43,320298.0,0.1963,42,2
23,42,383723.0,0.0842,42,2
26,40,554966.0,0.0515,38,2
10,38,149901.0,0.0847,34,2
22,37,657531.0,0.0437,35,2
23,36,475729.0,0.0311,35,2
21,32,422479.0,0.0571,30,2
15,31,129981.0,0.1071,29,2
17,31,756482.0,0.0545,28,2
22,30,960626.0,0.0176,25,2
18,30,929071.0,0.0779,29,2
19,30,1063885.0,0.0373,23,2
23,29,34351.0,0.1027,28,2
14,28,170225.0,0.1110999999999999,25,0
16,28,227216.0,0.1176,27,2
20,26,507358.0,0.0837,23,2
3,26,55802.0,0.0698,26,0
23,25,2603428.0,0.0708,22,2
22,25,1169259.0,0.0345,25,2
19,23,154854.0,0.1496,23,2
20,23,231977.0,0.1105,23,0
3,22,247136.0,0.024,22,0
10,21,313004.0,0.0334,21,0
15,21,521964.0,0.0296,21,0
4,21,20111.0,0.0541,21,0
7,21,46062.0,0.0737,20,0
10,21,843008.0,0.0438999999999999,17,0
12,21,484138.0,0.0286,19,0
7,20,15979.0,0.0603,20,0
10,19,389955.0,0.0781,14,0
8,19,357772.0,0.2759,19,2
13,19,570215.0,0.064,17,0
7,19,257969.0,0.0921,14,0
13,17,99817.0,0.1238,17,0
15,16,82852.0,0.1724,16,0
10,16,157039.0,0.102,14,0
14,16,174534.0,0.0683,15,0
4,15,11908.0,0.0152,15,0
10,15,55845.0,0.1887,13,0
4,15,155098.0,0.0216,13,0
9,15,110151.0,0.1125,15,0
6,15,319734.0,0.0417,13,0
12,14,73934.0,0.1153999999999999,14,0
11,14,688618.0,0.0701,13,0
7,14,196842.0,0.0921,13,0
12,14,85321.0,0.1081,14,0
11,14,29351.0,0.1507,13,0
12,14,787125.0,0.0275,12,0
11,13,456095.0,0.0186,12,0
11,13,195541.0,0.0513999999999999,11,0
11,13,434195.0,0.0608,12,0
9,13,332813.0,0.0471,9,0
10,13,279694.0,0.0302999999999999,12,0
12,13,114703.0,0.25,12,0
6,13,94463.0,0.1153999999999999,13,0
12,13,537064.0,0.093,13,0
8,12,444621.0,0.0523,7,0
11,12,111917.0,0.25,11,0
4,12,659821.0,0.0233999999999999,11,0
9,12,406502.0,0.0581,11,0
5,11,51503.0,0.0694,11,0
6,11,78596.0,0.1132,11,0
8,11,93088.0,0.2759,11,0
8,11,794291.0,0.0661,11,0
7,11,150523.0,0.035,10,0
10,11,150904.0,0.0321,11,0
6,10,52824.0,0.1667,8,0
9,10,261718.0,0.0137,9,0
5,10,16137.0,0.1923,8,0
7,10,2108.0,0.2692,9,0
5,10,41523.0,0.0962,10,0
7,10,57372.0,0.0946,9,0
6,10,123823.0,0.0556,8,0
2,10,151078.0,0.0556,10,0
7,10,77678.0,0.0366,10,0
3,9,151268.0,0.125,9,0
6,9,118138.0,0.0403,9,0
9,9,150005.0,0.0419,7,0
5,9,92692.0,0.0758,9,0
9,9,177165.0,0.0978,9,0
8,9,21895.0,0.0878999999999999,7,0
7,8,309668.0,0.0603,8,0
8,8,720169.0,0.1052999999999999,8,0
6,8,128044.0,0.0571,8,0
3,7,46521.0,0.0323,7,0
6,7,7428.0,0.1394999999999999,7,0
5,7,328655.0,0.061,7,0
6,7,218384.0,0.0968,6,0
5,7,39599.0,0.1923,4,0
3,7,82354.0,0.0566,7,0
2,7,73668.0,0.0909,7,0
5,7,146529.0,0.098,6,0
5,7,273907.0,0.1110999999999999,4,0
2,7,48268.0,0.0513,7,0
6,7,56234.0,0.0504,7,0
4,6,11959.0,0.0174,6,0
5,6,48089.0,0.1282,6,0
6,6,464002.0,0.0619,6,0
5,6,131576.0,0.0758,6,0
3,6,51728.0,0.0484,6,0
4,6,273267.0,0.0272,5,0
5,6,48449.0,0.0229,6,0
4,6,77721.0,0.1429,5,0
4,5,281471.0,0.0975999999999999,5,0
2,5,3054.0,0.0137,5,0
2,5,80203.0,0.0571,3,0
5,5,126195.0,0.0385,5,0
3,5,83677.0,0.038,5,0
5,5,12521.0,0.0633,5,0
4,5,207138.0,0.0596999999999999,5,0
3,5,43594.0,0.0882,3,0
5,5,35163.0,0.1064,5,0
4,5,134371.0,0.0615,5,0
3,4,32481.0,0.0882,4,0
4,4,70796.0,0.0667,4,0
1,4,252732.0,0.0208,2,0
4,4,763.0,0.0741,4,0
4,4,90661.0,0.0909,4,0
1,4,96.0,0.025,4,0
3,4,94394.0,0.0313,3,0
3,4,234812.0,0.0294,3,0
4,4,29677.0,0.1538,4,0
3,4,23472.0,0.0455,4,0
4,4,20999.0,0.1176,3,0
3,4,115551.0,0.0259,4,0
3,4,7999.0,0.0203,4,0
3,4,209933.0,0.0375,4,0
3,4,92054.0,0.03,4,0
2,4,47749.0,0.1333,3,0
2,3,1112.0,0.0171,3,0
3,3,10902.0,0.0516999999999999,3,0
3,3,111092.0,0.0516999999999999,3,0
3,3,16522.0,0.1110999999999999,3,0
2,3,136108.0,0.1176,2,0
2,3,24394.0,0.0356999999999999,3,0
3,3,111488.0,0.0195,3,0
3,3,38835.0,0.0789,3,0
3,3,25574.0,0.0227,3,0
2,3,164019.0,0.1052999999999999,3,0
3,3,36894.0,0.0196,3,0
3,3,8671.0,0.0625,3,0
2,3,67555.0,0.0327999999999999,3,0
2,3,33439.0,0.1110999999999999,3,0
3,3,48384.0,0.0638,3,0
2,3,5741.0,0.0951999999999999,2,0
2,3,339629.0,0.0308,2,0
3,3,32455.0,0.0612,2,0
3,3,208671.0,0.0265,3,0
3,3,101719.0,0.0469,3,0
3,3,131808.0,0.125,3,0
3,3,46347.0,0.0259,3,0
3,3,227786.0,0.0652,3,0
1,2,10712.0,0.0243999999999999,2,0
2,2,167516.0,0.0588,2,0
2,2,225618.0,0.0302999999999999,1,0
2,2,10474.0,0.0541,2,0
2,2,117.0,0.0263,2,0
2,2,67777.0,0.0333,2,0
1,2,106338.0,0.0132,2,0
2,2,33734.0,0.0084,2,0
2,2,55653.0,0.0266999999999999,2,0
2,2,46364.0,0.0175,2,0
1,2,60764.0,0.0132,2,0
2,2,118985.0,0.05,2,0
2,2,102657.0,0.0317,2,0
2,2,5604.0,0.0713999999999999,2,0
2,2,15333.0,0.1176,2,0
1,2,20264.0,0.0093,2,0
1,1,20638.0,0.0333,1,0
1,1,458.0,0.1429,1,0
1,1,148514.0,0.1429,1,0
1,1,35538.0,0.0182,1,0
1,1,33119.0,0.0222,1,0
1,1,16251.0,0.0356999999999999,1,0
1,1,285.0,0.0144999999999999,1,0
1,1,7068.0,0.0054,1,0
1,1,79.0,0.0345,1,0
1,1,4039.0,0.0909,1,0
1,1,2819.0,0.037,1,0
1,1,1122.0,0.0769,1,0
1,1,91.0,0.0356999999999999,1,0
1,1,12735.0,0.0208,1,0
1,1,15538.0,0.0098,1,0
1,1,79881.0,0.1429,1,0
1,1,29639.0,0.0769,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
15,132,370821.0,0.0718,132,2
10,116,108231.0,0.1235,116,2
89,107,3393294.0,0.047,103,1
24,99,1039941.0,0.0663,90,2
30,84,745821.0,0.0472,77,2
21,76,556296.0,0.0494,69,2
64,76,8266561.0,0.073,73,1
55,63,1632892.0,0.0775,60,2
42,63,918903.0,0.0814,58,2
21,62,19493.0,0.253,62,2
21,46,1292765.0,0.1364,46,2
16,45,106488.0,0.1818,36,2
8,45,83883.0,0.0769,45,2
17,43,701215.0,0.037,43,2
21,43,1432162.0,0.0871,42,2
10,42,110892.0,0.0877,41,2
19,42,73553.0,0.0896,41,2
20,40,1409132.0,0.0465,38,2
20,38,669045.0,0.0474,33,2
24,37,1129848.0,0.1211999999999999,32,2
13,37,336664.0,0.0508,37,2
29,36,90094.0,0.0525,35,2
19,34,655768.0,0.0856,32,2
22,32,296193.0,0.1027999999999999,29,2
18,30,765973.0,0.0756,30,2
23,29,36929.0,0.0732,29,2
11,29,344802.0,0.2339999999999999,26,2
17,27,343484.0,0.0243999999999999,27,0
21,26,968095.0,0.0444,25,2
16,26,192589.0,0.1441,22,2
8,26,194008.0,0.1052999999999999,15,0
19,25,892378.0,0.0554,20,0
4,24,184512.0,0.0266999999999999,18,0
1,24,564471.0,0.0909,24,0
20,23,121976.0,0.1418,23,2
5,23,236907.0,0.0272,23,0
22,22,102712.0,0.1642,21,2
15,22,921074.0,0.0467,19,0
18,21,998837.0,0.1146,19,2
18,20,660248.0,0.0215,19,0
7,20,87593.0,0.1707,20,0
9,20,114808.0,0.1011,16,0
14,20,530444.0,0.0576,20,0
15,19,2001691.0,0.0586,16,2
17,19,579297.0,0.0588,19,0
7,19,265047.0,0.0542999999999999,16,0
10,18,401997.0,0.068,18,0
15,17,539603.0,0.1119,17,0
10,16,82253.0,0.0962,16,0
13,16,100988.0,0.1275,16,0
3,16,191025.0,0.0126,16,0
5,16,358411.0,0.0556,13,0
6,15,199529.0,0.0321,15,0
10,15,339394.0,0.0694,13,0
12,15,170821.0,0.0789,15,0
11,15,106548.0,0.0965,15,0
9,15,122211.0,0.0431,14,0
7,15,300874.0,0.0619,12,0
12,15,242444.0,0.0355,13,0
12,14,8831.0,0.1348,12,0
9,13,341464.0,0.037,9,0
9,13,27774.0,0.36,13,2
10,13,29094.0,0.1613,12,0
11,13,199537.0,0.0688,13,0
12,13,45424.0,0.0774,11,0
9,12,158489.0,0.1364,11,0
5,12,104581.0,0.2,12,0
6,12,55895.0,0.15,12,0
5,12,20089.0,0.2380999999999999,12,0
9,12,1082421.0,0.1384999999999999,11,0
5,12,25337.0,0.1,12,0
8,11,77336.0,0.1379,11,0
4,11,40808.0,0.0296,11,0
8,11,184632.0,0.0519,10,0
7,11,168594.0,0.0886,11,0
7,11,64113.0,0.0875,10,0
11,11,377498.0,0.0948,11,0
6,11,284357.0,0.0455,11,0
10,11,360555.0,0.1052999999999999,11,0
10,11,232289.0,0.0662,11,0
4,11,190765.0,0.0596999999999999,11,0
10,11,101229.0,0.0787,11,0
10,11,457673.0,0.0769,10,0
5,10,37493.0,0.0472,10,0
8,10,56315.0,0.2221999999999999,10,0
9,10,37821.0,0.2432,8,0
8,10,168698.0,0.1905,9,0
8,10,8629.0,0.2286,9,0
7,10,261657.0,0.0375999999999999,10,0
7,10,346911.0,0.0421999999999999,9,0
7,10,136485.0,0.2692,10,0
7,9,346249.0,0.0107,9,0
8,9,83143.0,0.2051,9,0
8,9,125526.0,0.0462,9,0
7,9,222613.0,0.0864,6,0
9,9,119791.0,0.1139,9,0
7,9,1025115.0,0.1628,9,0
8,9,116036.0,0.0556,8,0
6,9,213469.0,0.019,9,0
3,8,38725.0,0.0638,8,0
7,8,83011.0,0.1045,8,0
5,8,821774.0,0.0562,8,0
7,8,205273.0,0.1296,8,0
3,8,56934.0,0.1153999999999999,6,0
7,7,165701.0,0.0630999999999999,6,0
6,7,168997.0,0.0674,6,0
6,7,574892.0,0.0438,7,0
6,7,208068.0,0.0723,7,0
5,7,83273.0,0.0417,5,0
4,7,168156.0,0.0494,7,0
6,7,262278.0,0.0264,7,0
6,7,7921.0,0.1091,6,0
6,6,224042.0,0.0769,5,0
5,6,182977.0,0.0076,6,0
4,6,55304.0,0.0741,6,0
6,6,154708.0,0.0822,6,0
5,6,42567.0,0.1515,6,0
3,6,133606.0,0.0833,5,0
6,6,6399.0,0.1765,5,0
4,6,376083.0,0.0348,6,0
5,5,140507.0,0.045,5,0
4,5,63126.0,0.129,5,0
5,5,342163.0,0.0684999999999999,3,0
2,5,14336.0,0.0556,3,0
3,5,40435.0,0.06,5,0
4,5,28669.0,0.1538,5,0
2,5,81595.0,0.05,5,0
3,5,374518.0,0.0698,5,0
5,5,38302.0,0.0769,4,0
3,5,158551.0,0.0638,5,0
4,5,61376.0,0.0571,3,0
4,4,91881.0,0.129,4,0
4,4,31238.0,0.1379,4,0
4,4,22929.0,0.3636,4,0
2,4,64587.0,0.0667,4,0
4,4,14834.0,0.0301,4,0
3,4,315359.0,0.0423,3,0
4,4,63791.0,0.0237999999999999,4,0
3,4,226092.0,0.0326,3,0
3,4,90747.0,0.0508,2,0
2,4,99416.0,0.0132,4,0
2,4,24574.0,0.0377,3,0
3,4,135301.0,0.0492,4,0
3,4,11949.0,0.15,4,0
2,4,302976.0,0.0187,4,0
4,4,151947.0,0.05,4,0
3,4,216708.0,0.0536,4,0
3,3,169235.0,0.0536,3,0
2,3,24373.0,0.1429,2,0
3,3,94176.0,0.0545,3,0
3,3,18631.0,0.0789,3,0
3,3,46688.0,0.0612,3,0
2,3,33424.0,0.0263,1,0
2,3,380727.0,0.0713999999999999,1,0
2,3,72779.0,0.0302999999999999,3,0
3,3,208026.0,0.0155,3,0
2,3,63602.0,0.08,2,0
2,3,4236.0,0.1818,3,0
3,3,29548.0,0.0129,3,0
2,3,61926.0,0.0155,3,0
3,3,132687.0,0.1765,3,0
1,2,19894.0,0.027,2,0
2,2,55525.0,0.0487999999999999,2,0
2,2,748.0,0.0163999999999999,2,0
2,2,91475.0,0.0356999999999999,2,0
2,2,61546.0,0.0465,2,0
2,2,62183.0,0.0667,2,0
